sample_id,concentration_ppb,source_file,Ip_corr,Ep,Area_peak,Peak_to_bg,Slope_rise,Slope_fall,Symmetry,dIdE_max,d2IdE2_max,Mean,Var,Skew,Kurtosis,Energy
0ppb_S21,0,Ac TW  0ppb.xlsx,2.276,-0.0833,0.30596061,3.364276001,6.361894489,-38.95098039,-0.163330792,20.59803922,546.4244521,1.238,0.210775594,0.576410304,2.673839883,43.58548984
0ppb_S22,0,Ac TW  0ppb.xlsx,3.5886,-0.0833,0.66096587,1.618527873,5.486854066,-62.49019608,-0.087803438,47.94117647,561.3225682,2.6684,0.167494416,-0.127703145,4.133167332,182.1963244
0ppb_S23,0,Ac TW  0ppb.xlsx,3.3494,-0.0833,0.46347248,3.429232533,10.17119443,-58.6372549,-0.173459594,25.32352941,590.1576317,1.873216,0.497364054,0.359231973,2.306599116,100.1575559
0ppb_S24,0,Ac TW  0ppb.xlsx,2.7174,-0.0833,0.39153449,2.868876689,7.044425855,-44,-0.160100588,22.85294118,578.1430219,1.584448,0.249868641,0.398482746,2.664596851,69.00860264
100ppb_S1,100,Ac TW 100ppb.xlsx,20.448,-0.1956,2.83582922,3.160510925,167.5769916,-144.9432348,-1.156156008,214.9019608,3316.032295,11.228816,35.03475853,0.176043352,1.619234166,4028.026682
100ppb_S2,100,Ac TW 100ppb.xlsx,20.136,-0.2058,2.87191568,2.807209297,168.484492,-137.9522532,-1.221324684,197.5490196,3037.293349,11.378624,33.13346902,0.106699504,1.616317368,4065.163829
100ppb_S3,100,Ac TW 100ppb.xlsx,18.903,-0.1956,2.64074954,3.140450558,154.4326752,-134.4164633,-1.148911907,200.0980392,3001.730104,10.456752,29.85555782,0.16249863,1.618472601,3479.980505
100ppb_S4,100,Ac TW 100ppb.xlsx,19.182,-0.1956,2.9131825,2.818229901,143.9819005,-124.8745853,-1.153012041,172.745098,2950.788158,11.56544,25.15120625,0.068452565,1.685908251,3972.765216
10ppb_S1,10,Ac TW 10ppb.xlsx,3.617,-0.1751,0.72236284,1.909472928,17.60615303,-6.561497326,-2.683252336,40.24509804,855.9207997,2.90108,0.408758534,-0.896162581,2.824709716,220.6255925
10ppb_S2,10,Ac TW 10ppb.xlsx,3.456,-0.2058,0.68364695,1.711874146,18.01925134,-7.487754674,-2.406495955,42.50980392,826.1245675,2.745608,0.270935173,-0.78802854,3.171833119,195.2324616
